,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,Year,Tms,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt,APYd
1,2019,32,19.7,140.8,0.1,7.2,19.8,449.7,0.2,22.7,4813.7
2,2018,32,28.4,240.3,0.2,8.5,30.3,694.8,0.2,22.9,6837.2
3,2017,32,33.4,273.0,0.3,8.2,32.4,699.7,0.2,21.6,6561.8
4,2016,32,31.6,270.4,0.3,8.6,32.4,709.0,0.2,21.9,6811.5
5,2015,32,35.6,301.7,0.4,8.5,33.8,795.2,0.2,23.5,6984.9
6,2014,32,32.4,287.8,0.4,8.9,38.3,910.1,0.2,23.8,7029.4
7,2013,32,34.2,321.9,0.4,9.4,40.3,941.4,0.2,23.4,7143.3
8,2012,32,35.4,344.8,0.6,9.7,43.6,1027.9,0.4,23.6,7196.9
9,2011,32,36.7,363.7,0.6,9.9,43.0,1021.3,0.3,23.8,7195.3
10,2010,32,35.9,344.6,0.4,9.6,63.5,1419.4,0.7,22.3,7396.1
11,2009,32,36.9,313.2,0.3,8.5,62.6,1416.9,0.6,22.6,7347.9
12,2008,32,34.1,315.4,0.5,9.3,66.1,1507.8,0.4,22.8,7301.4
13,2007,32,35.1,319.1,0.5,9.1,64.8,1466.8,0.8,22.6,7251.1
14,2006,32,38.0,332.0,0.5,8.7,63.7,1434.6,0.3,22.5,7203.9
15,2005,32,39.1,316.9,0.3,8.1,66.8,1488.3,0.4,22.3,7143.6
16,2004,32,38.0,326.9,0.3,8.6,67.3,1460.6,0.5,21.7,7307.8
17,2003,32,37.8,360.6,0.6,9.5,67.5,1456.1,0.4,21.6,7150.1
18,2002,32,36.0,342.8,0.7,9.5,68.9,1500.6,0.5,21.8,7365.5
19,2001,31,37.4,365.7,0.4,9.8,64.4,1393.8,0.3,21.6,7116.1
20,2000,31,36.8,367.6,0.5,10.0,65.8,1442.8,0.5,21.9,7195.8
21,1999,31,39.6,370.9,0.5,9.4,65.6,1393.4,0.4,21.2,7162.5
22,1998,30,39.0,390.2,0.5,10.0,61.9,1378.3,0.6,22.3,7150.7
23,1997,30,40.7,403.5,0.5,9.9,63.0,1386.2,0.5,22.0,7143.6
24,1996,30,37.8,379.9,0.4,10.0,64.0,1405.4,0.3,22.0,7120.3
25,1995,30,34.7,327.3,0.3,9.4,68.1,1458.9,0.3,21.4,7338.3
26,1994,28,38.4,343.0,0.6,8.9,65.8,1396.3,0.6,21.2,7086.5
27,1993,28,37.3,339.3,0.5,9.1,49.3,960.3,0.1,19.5,6544.5
28,1992,28,34.8,318.2,0.6,9.1,49.8,966.4,0.2,19.4,6378.3
29,1991,28,35.5,310.0,0.3,8.7,53.1,1003.4,0.3,18.9,6506.6
30,1990,28,35.6,299.9,0.3,8.4,58.3,1115.3,0.2,19.1,6653.6
31,1989,28,37.2,338.6,0.2,9.1,61.6,1195.5,0.3,19.4,7075.2
32,1988,28,40.5,343.5,0.2,8.5,60.5,1207.9,0.3,20.0,6993.2
33,1987,28,38.9,353.9,0.4,9.1,60.0,1166.6,0.2,19.4,6771.2
34,1986,28,40.9,350.7,0.5,8.6,60.5,1194.3,0.3,19.8,7079.8
35,1985,28,40.6,377.3,0.3,9.3,61.9,1298.7,0.3,21.0,7328.5
36,1984,28,43.1,372.0,0.3,8.6,62.3,1233.7,0.2,19.8,7273.8
37,1983,28,44.0,378.9,0.4,8.6,63.6,1243.4,0.1,19.5,7363.7
38,1982,28,24.3,197.4,0.2,8.1,34.8,699.6,0.1,20.1,3967.8
39,1981,28,43.6,372.9,0.4,8.6,61.0,1238.6,0.2,20.3,7299.8
40,1980,28,43.4,359.8,0.3,8.3,63.0,1255.1,0.3,19.9,7105.8
41,1979,28,43.4,332.1,0.2,7.7,63.6,1289.6,0.2,20.3,7016.9
42,1978,28,47.8,400.8,0.3,8.4,58.3,1247.0,0.3,21.4,6778.0
43,1977,28,44.5,392.9,0.4,8.8,49.1,1049.9,0.4,21.4,5752.8
44,1976,28,45.2,408.3,0.5,9.0,54.5,1169.4,0.1,21.4,6148.3
45,1975,26,42.2,385.4,0.3,9.1,56.6,1269.0,0.3,22.4,6301.4
46,1974,26,46.5,455.5,0.3,9.8,53.5,1185.1,0.2,22.2,5949.6
47,1973,26,34.5,279.2,0.2,8.1,48.6,1092.0,0.4,22.5,5661.2
48,1972,26,28.5,203.7,0.2,7.1,49.4,1139.0,0.2,23.1,5685.7
49,1971,26,32.9,231.1,0.1,7.0,51.3,1180.5,0.3,23.0,5698.0
50,1970,26,37.7,277.0,0.3,7.4,49.2,1086.0,0.6,22.1,5615.6
51,1969,16,32.7,208.6,0.2,6.4,51.9,1125.3,0.4,21.7,5838.6
52,1968,16,29.9,211.3,0.5,7.1,55.1,1175.4,0.3,21.3,5830.1
53,1967,16,32.6,198.4,0.3,6.1,56.1,1266.1,0.8,22.6,5970.9
54,1966,15,32.8,207.9,0.4,6.3,57.5,1269.2,0.5,22.1,6025.7
55,1965,14,31.2,243.9,0.4,7.8,54.3,1260.5,0.2,23.2,6151.6
56,1964,14,32.9,300.7,0.5,9.1,54.6,1275.9,0.1,23.4,6147.2
57,1963,14,32.2,301.9,0.1,9.4,52.9,1237.1,0.6,23.4,6247.6
58,1962,14,26.2,215.0,0.1,8.2,55.7,1320.4,0.4,23.7,6359.5
59,1961,14,28.6,270.3,0.6,9.5,52.6,1230.9,0.4,23.4,6208.9
60,1960,13,25.7,172.7,0.1,6.7,47.2,1028.0,0.2,21.8,5113.2
61,1959,12,38.0,245.2,0.9,6.5,39.5,845.9,0.1,21.4,5103.5
62,1958,12,39.3,225.2,0.2,5.7,42.2,941.3,0.7,22.3,5273.1
63,1957,12,40.8,221.6,0.2,5.4,41.1,930.0,0.3,22.6,4928.5
64,1956,12,36.8,247.8,0.6,6.7,42.4,958.2,0.4,22.6,5040.4
65,1955,12,40.6,228.4,0.8,5.6,42.8,986.3,0.3,23.1,5137.1
66,1954,12,40.9,238.3,0.4,5.8,46.5,1013.8,0.5,21.8,5415.2
67,1953,12,42.4,256.9,0.3,6.1,44.5,1014.3,0.2,22.8,5225.4
68,1952,12,41.6,421.1,1.3,10.1,46.5,1055.8,0.5,22.7,5377.2
69,1951,12,37.0,373.0,1.1,10.1,42.9,943.6,0.2,22.0,5401.9
70,1950,13,38.8,431.8,0.5,11.1,44.6,1007.0,0.5,22.6,5567.5
71,1949,10,39.4,469.1,1.0,11.9,42.9,905.5,0.1,21.1,5365.8
72,1948,10,39.6,477.6,0.6,12.1,45.6,963.9,0.4,21.1,5414.3
73,1947,10,38.8,501.3,0.6,12.9,47.2,943.4,0.3,20.0,5334.7
74,1946,10,31.5,371.5,0.1,11.8,39.2,823.9,0.3,21.0,4189.3
75,1945,10,30.1,343.6,0.1,11.4,33.4,689.9,0.1,20.7,3726.8
76,1944,11,27.3,315.7,0.3,11.6,29.5,642.4,0.3,21.7,3214.8
77,1943,10,24.6,284.0,0.1,11.5,25.0,558.9,0.2,22.4,2920.1
78,1942,10,35.7,424.7,0.4,11.9,32.0,702.8,0.6,22.0,3843.5
79,1941,10,35.5,450.6,0.8,12.7,31.7,708.4,0.3,22.3,3781.4
