,,,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,Tms,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,2019,32,0.1,0.1,5.7,5.6,5.6,5.1,7.1,4.9,3.2,1.7,21.7,17.3,79.9%,25.8,24.1,93.2%,47.6,2156.6,0.3,45.3
2,2018,32,0.1,0.1,6.5,6.4,9.0,8.5,9.2,7.0,4.8,3.0,29.6,25.1,84.7%,38.6,36.4,94.3%,69.2,3110.8,0.5,45.0
3,2017,32,0.3,0.3,7.6,7.4,9.4,8.1,10.0,7.9,4.8,3.3,32.1,27.1,84.3%,35.4,33.3,94.0%,76.4,3464.8,0.3,45.4
4,2016,32,0.3,0.3,7.8,7.6,9.5,8.7,9.3,7.3,4.7,2.7,31.5,26.6,84.2%,37.3,35.0,93.6%,73.0,3308.3,0.2,45.3
5,2015,32,0.3,0.3,7.4,7.2,8.5,8.0,9.7,7.3,5.0,3.3,30.8,26.1,84.5%,38.0,35.8,94.2%,76.3,3447.6,0.3,45.2
6,2014,32,0.3,0.3,7.7,7.5,9.4,8.5,8.6,6.6,4.8,2.9,30.8,25.9,84.0%,38.4,38.2,99.3%,74.6,3340.5,0.7,44.8
7,2013,32,0.4,0.4,7.6,7.4,9.2,8.3,9.6,7.9,4.5,3.0,31.2,27.0,86.5%,39.6,39.4,99.6%,79.0,3550.4,0.6,45.0
8,2012,32,0.5,0.5,7.0,6.7,9.5,8.4,10.1,8.1,4.7,2.9,31.8,26.6,83.9%,38.6,38.4,99.5%,77.2,3509.8,0.7,45.5
9,2011,32,0.5,0.5,9.3,8.9,8.1,7.0,9.4,6.9,4.4,2.8,31.6,26.2,82.9%,37.7,37.5,99.4%,77.8,3501.6,0.3,45.0
