,,,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,Tms,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,2019,32,4,4,182,178,180,162,227,157,102,54,695,555,79.9%,826,770,93.2%,1524,69012,8,45.3
2,2018,32,3,3,208,205,289,272,295,225,152,97,947,802,84.7%,1235,1164,94.3%,2214,99544,16,45.0
3,2017,32,9,9,243,238,301,258,320,254,154,107,1027,866,84.3%,1134,1066,94.0%,2444,110874,11,45.4
4,2016,32,9,9,250,242,304,279,296,235,150,85,1009,850,84.2%,1195,1119,93.6%,2335,105867,7,45.3
5,2015,32,10,10,236,230,272,256,309,234,160,104,987,834,84.5%,1217,1146,94.2%,2440,110322,11,45.2
6,2014,32,10,10,247,241,302,272,274,212,154,94,987,829,84.0%,1230,1222,99.3%,2387,106896,23,44.8
7,2013,32,12,12,242,236,295,265,306,254,143,96,998,863,86.5%,1267,1262,99.6%,2527,113614,18,45.0
8,2012,32,16,16,223,215,303,270,323,259,151,92,1016,852,83.9%,1235,1229,99.5%,2469,112314,21,45.5
9,2011,32,16,16,296,285,259,225,300,222,140,90,1011,838,82.9%,1207,1200,99.4%,2488,112051,9,45.0
10,2010,32,19,19,270,257,283,251,284,208,108,59,964,794,82.4%,1214,1203,99.1%,2466,107008,13,43.4
11,2009,32,11,11,273,264,287,240,255,186,104,55,930,756,81.3%,1185,1165,98.3%,2451,107993,6,44.1
12,2008,32,7,7,266,261,321,286,302,225,104,66,1000,845,84.5%,1176,1170,99.5%,2307,101330,13,43.9
13,2007,32,17,17,284,270,279,253,283,210,95,45,960,795,82.8%,1177,1165,99.0%,2353,102192,12,43.4
14,2006,32,15,15,269,257,279,239,294,216,85,40,942,767,81.4%,1135,1124,99.0%,2489,108086,12,43.4
15,2005,32,13,13,272,259,299,255,291,208,92,48,967,783,81.0%,1114,1099,98.7%,2511,106813,9,42.5
16,2004,32,12,12,252,243,259,211,257,185,91,53,870,703,80.8%,1189,1179,99.2%,2524,105893,11,42.0
17,2003,32,6,6,281,270,277,229,297,206,93,45,954,756,79.2%,1128,1110,98.4%,2550,105338,21,41.3
18,2002,32,13,12,257,242,291,243,305,196,84,44,951,737,77.5%,1165,1148,98.5%,2447,101082,22,41.3
19,2001,31,10,9,267,253,271,230,338,202,73,38,959,732,76.3%,1027,1008,98.1%,2479,104431,11,42.1
20,2000,31,31,29,240,224,282,232,297,208,68,38,917,731,79.7%,1063,1053,99.1%,2471,103502,14,41.9
21,1999,31,25,25,261,247,289,231,302,204,87,42,964,749,77.7%,1063,1051,98.9%,2578,107945,11,41.9
22,1998,30,22,20,230,219,254,216,296,206,87,47,889,708,79.6%,1049,1031,98.3%,2441,105987,10,43.4
23,1997,30,20,20,257,243,280,235,271,169,78,41,906,708,78.1%,1007,993,98.6%,2473,106282,15,43.0
24,1996,30,20,20,281,266,288,244,267,172,58,30,915,732,80.0%,991,977,98.6%,2325,100251,12,43.1
25,1995,30,19,18,265,243,318,262,261,169,91,46,954,738,77.4%,1049,1030,98.2%,2193,92129,11,42.0
26,1994,28,22,22,239,229,255,213,228,152,66,24,811,640,78.9%,902,891,98.8%,2189,91403,5,41.8
27,1993,28,28,28,246,229,263,219,222,136,120,61,879,673,76.6%,901,876,97.2%,2118,89812,10,42.4
28,1992,28,21,21,201,181,253,192,226,131,72,36,773,561,72.6%,952,936,98.3%,2057,87185,15,42.4
29,1991,28,31,30,221,205,262,205,240,141,94,42,848,623,73.5%,941,919,97.7%,1987,82902,16,41.7
30,1990,28,27,26,203,194,250,196,235,146,78,28,793,590,74.4%,1024,997,97.4%,1917,78287,22,40.8
31,1989,28,27,27,216,204,252,199,273,150,61,21,829,601,72.5%,1047,1025,97.9%,2083,84510,20,40.6
32,1988,28,22,21,216,193,246,190,242,139,70,28,796,571,71.7%,1045,1004,96.1%,2179,88474,23,40.6
33,1987,28,14,14,211,196,248,181,258,140,51,20,784,551,70.3%,1041,1010,97.0%,2140,85104,29,39.8
34,1986,28,26,24,193,171,245,193,258,138,93,33,815,559,68.6%,1059,1026,96.9%,2311,94607,28,40.9
35,1985,28,18,17,221,193,274,218,233,138,80,30,826,596,72.2%,1110,1073,96.7%,2279,94943,16,41.7
36,1984,28,25,25,192,178,231,173,248,150,89,37,785,563,71.7%,1105,1075,97.3%,2260,93420,17,41.3
37,1983,28,23,22,201,182,239,181,237,139,71,27,771,551,71.5%,1153,1104,95.8%,2249,92302,15,41.0
38,1982,28,20,19,120,101,127,91,146,91,40,10,456,311,68.2%,587,557,94.9%,1250,51078,8,40.9
39,1981,28,24,22,213,182,231,162,256,134,67,21,791,521,65.9%,1092,1041,95.3%,2240,92131,9,41.1
40,1980,28,21,20,181,161,245,165,225,108,80,23,752,478,63.6%,1097,1042,95.0%,2174,88198,17,40.6
41,1979,28,19,14,183,160,236,157,240,109,42,14,720,454,63.1%,1085,991,91.3%,2323,92371,24,39.8
42,1978,28,28,26,182,155,223,136,210,104,34,6,677,427,63.1%,982,914,93.1%,2458,95885,26,39.0
43,1977,28,16,13,166,131,194,121,197,87,44,8,618,360,58.3%,806,741,91.9%,2267,88286,31,38.9
44,1976,28,24,23,172,137,202,129,233,103,41,8,672,400,59.5%,896,816,91.1%,2266,88563,28,39.1
45,1975,26,25,24,165,137,175,115,173,84,37,9,575,369,64.2%,910,834,91.6%,1966,77854,27,39.6
46,1974,26,16,13,148,120,190,123,169,75,30,4,553,335,60.6%,796,733,92.1%,1991,77686,16,39.0
