,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Total Yds,Total Yds,Total Yds,,
Rk,Year,Tms,Att,Yds,TD,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,R/G,Y/G,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb
1,2019,32,289.5,1245.3,9.3,4.3,111.3,25.9,249.7,2837.3,11.4,17.3,22.3,235.9,,539.2,7.6,4082.5,26.7,14.6
2,2018,32,414.8,1831.3,13.7,4.4,114.5,25.9,358.2,4070.8,11.4,26.5,22.4,237.8,,772.9,7.6,5902.1,40.2,20.1
3,2017,32,429.8,1755.3,11.9,4.1,109.7,26.9,339.3,3833.8,11.3,23.2,21.2,224.4,,769.1,7.3,5589.1,35.0,20.1
4,2016,32,416.3,1742.6,13.8,4.2,108.9,26.0,360.2,4089.5,11.4,24.6,22.5,241.5,,776.5,7.5,5832.1,38.4,20.3
5,2015,32,421.5,1741.4,11.4,4.1,108.8,26.3,360.2,4146.7,11.5,26.3,22.5,243.8,,781.7,7.5,5888.1,37.7,20.7
6,2014,32,427.8,1781.3,11.9,4.2,111.3,26.7,350.0,4028.1,11.5,25.2,21.9,236.8,,777.8,7.5,5809.4,37.1,20.9
7,2013,32,433.5,1806.1,12.8,4.2,112.9,27.1,346.9,4036.8,11.6,25.1,21.7,235.6,,780.4,7.5,5842.9,37.9,20.5
8,2012,32,435.2,1854.7,12.5,4.3,115.9,27.2,338.5,3936.0,11.6,23.7,21.2,231.3,,773.7,7.5,5790.6,36.2,21.2
9,2011,32,436.6,1874.3,12.5,4.3,117.1,27.3,327.0,3916.6,12.0,23.3,20.4,229.7,,763.6,7.6,5790.9,35.8,20.3
10,2010,32,435.0,1831.5,12.5,4.2,114.5,27.2,327.8,3779.6,11.5,23.5,20.5,221.6,,762.8,7.4,5611.0,35.9,22.8
11,2009,32,440.3,1866.8,13.4,4.2,116.7,27.5,324.1,3716.2,11.5,22.2,20.3,218.5,,764.4,7.3,5583.0,35.6,23.4
12,2008,32,441.2,1855.3,14.9,4.2,116.0,27.6,315.0,3586.4,11.4,20.2,19.7,211.3,,756.3,7.2,5441.8,35.1,22.3
13,2007,32,437.1,1774.7,12.1,4.1,110.9,27.3,325.8,3662.9,11.2,22.5,20.4,214.3,,762.8,7.1,5437.6,34.6,25.0
14,2006,32,451.5,1876.9,13.3,4.2,117.3,28.2,306.1,3508.7,11.5,20.3,19.1,204.8,,757.6,7.1,5385.6,33.5,23.9
15,2005,32,449.2,1799.5,13.5,4.0,112.5,28.1,305.9,3491.3,11.4,20.1,19.1,203.5,,755.2,7.0,5290.8,33.6,25.2
16,2004,32,450.9,1865.9,13.0,4.1,116.6,28.2,305.4,3604.3,11.8,22.9,19.1,210.5,,756.3,7.2,5470.2,35.9,24.8
17,2003,32,453.4,1885.7,13.3,4.2,117.9,28.3,303.0,3420.8,11.3,20.4,18.9,200.4,,756.3,7.0,5306.5,33.8,25.2
18,2002,32,440.7,1858.1,14.4,4.2,116.1,27.5,322.3,3631.3,11.3,21.7,20.1,212.2,,763.0,7.2,5489.4,36.1,24.9
19,2001,31,440.8,1788.4,11.8,4.1,111.8,27.6,307.8,3536.7,11.5,20.5,19.2,205.8,,748.6,7.1,5325.1,32.3,26.6
20,2000,31,441.2,1800.9,13.3,4.1,112.6,27.6,306.4,3552.6,11.6,20.5,19.1,206.9,,747.5,7.2,5353.5,33.7,25.0
21,1999,31,437.0,1703.8,11.7,3.9,106.5,27.3,308.6,3653.4,11.8,21.5,19.3,212.3,,745.6,7.2,5357.2,33.2,25.8
22,1998,30,452.3,1803.1,12.6,4.0,112.7,28.3,292.2,3536.2,12.1,21.9,18.3,205.0,,744.5,7.2,5339.3,34.6,24.1
23,1997,30,454.6,1808.7,12.8,4.0,113.0,28.4,294.8,3509.6,11.9,20.6,18.4,201.8,,749.4,7.1,5318.3,33.4,26.6
24,1996,30,453.1,1743.5,12.1,3.8,109.0,28.3,306.6,3555.4,11.6,20.9,19.2,207.4,,759.7,7.0,5298.9,33.0,25.9
25,1995,30,440.0,1729.5,12.8,3.9,108.1,27.5,323.9,3769.0,11.6,22.1,20.2,220.8,,763.9,7.2,5498.5,34.9,25.9
26,1994,28,448.2,1668.2,12.1,3.7,104.3,28.0,312.1,3638.7,11.7,20.8,19.5,213.6,,760.3,7.0,5306.9,33.0,25.8
27,1993,28,453.0,1760.5,10.9,3.9,110.0,28.3,298.3,3446.1,11.6,18.5,18.6,200.6,,751.3,6.9,5206.6,29.3,27.1
28,1992,28,439.0,1768.2,11.9,4.0,110.5,27.4,275.2,3286.1,11.9,18.4,17.2,187.6,,714.1,7.1,5054.3,30.3,27.6
29,1991,28,438.5,1722.8,12.8,3.9,107.7,27.4,285.8,3432.1,12.0,18.3,17.9,199.1,,724.4,7.1,5154.9,31.0,27.9
30,1990,28,444.4,1821.9,13.5,4.1,113.9,27.8,270.4,3382.1,12.5,20.5,16.9,194.8,,714.8,7.3,5204.0,34.0,28.9
31,1989,28,466.7,1844.5,13.9,4.0,115.3,29.2,285.7,3659.1,12.8,20.8,17.9,210.9,,752.4,7.3,5503.6,34.6,30.0
32,1988,28,485.0,1942.7,15.1,4.0,121.4,30.3,273.9,3487.0,12.7,19.9,17.1,200.7,,759.0,7.2,5429.6,35.0,29.4
33,1987,28,471.0,1858.7,12.9,3.9,123.9,31.4,264.1,3352.9,12.7,21.8,17.6,203.9,,735.2,7.1,5211.6,34.7,32.5
34,1986,28,482.5,1899.0,14.3,3.9,118.7,30.2,286.2,3611.7,12.6,20.9,17.9,205.5,,768.7,7.2,5510.7,35.3,32.5
35,1985,28,487.0,1998.9,15.8,4.1,124.9,30.4,282.5,3625.6,12.8,21.4,17.7,204.5,,769.5,7.3,5624.5,37.2,31.9
36,1984,28,493.3,1982.3,14.6,4.0,123.9,30.8,288.4,3651.2,12.7,22.0,18.0,205.9,,781.7,7.2,5633.4,36.6,31.2
37,1983,28,507.5,2075.8,15.6,4.1,129.7,31.7,285.5,3604.4,12.6,22.3,17.8,204.6,,793.0,7.2,5680.1,37.9,34.2
38,1982,28,277.3,1060.0,8.3,3.8,117.8,30.8,159.8,1987.8,12.4,11.4,17.8,199.4,,437.0,7.0,3047.7,19.7,18.9
39,1981,28,518.1,2082.3,15.8,4.0,130.1,32.4,276.6,3561.5,12.9,21.1,17.3,204.4,,794.8,7.1,5643.8,36.9,34.4
40,1980,28,513.7,2040.5,15.4,4.0,127.5,32.1,275.0,3426.3,12.5,21.6,17.2,196.0,,788.7,6.9,5466.8,37.0,30.5
41,1979,28,542.3,2169.0,17.4,4.0,135.6,33.9,250.8,3184.6,12.7,19.2,15.7,180.4,,793.0,6.8,5353.7,36.6,32.2
42,1978,28,574.1,2269.3,16.2,4.0,141.8,35.9,224.2,2841.3,12.7,16.7,14.0,158.8,,798.3,6.4,5110.6,32.9,34.1
43,1977,28,523.2,2014.3,12.6,3.8,143.9,37.4,179.4,2271.2,12.7,13.9,12.8,141.9,,702.6,6.1,4285.5,26.4,29.1
44,1976,28,516.5,2109.4,14.8,4.1,150.7,36.9,191.1,2428.2,12.7,15.4,13.7,152.0,,707.6,6.4,4537.6,30.2,31.7
45,1975,26,507.7,2036.9,15.9,4.0,145.5,36.3,201.2,2561.3,12.7,16.7,14.4,162.8,,708.8,6.5,4598.3,32.5,31.3
46,1974,26,481.0,1866.2,14.0,3.9,133.3,34.4,193.9,2399.7,12.4,14.5,13.8,153.2,,674.9,6.3,4265.8,28.5,27.5
