,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Total Yds,Total Yds,Total Yds,,
Rk,Year,Tms,Att,Yds,TD,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,R/G,Y/G,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb
1,2019,32,9265,39849,299,4.3,111.3,25.9,7990,90792,11.4,554,22.3,235.9,,17255,7.6,130641,853,466
2,2018,32,13272,58601,439,4.4,114.5,25.9,11462,130267,11.4,847,22.4,237.8,,24734,7.6,188868,1286,642
3,2017,32,13755,56170,380,4.1,109.7,26.9,10856,122680,11.3,741,21.2,224.4,,24611,7.3,178850,1121,644
4,2016,32,13321,55763,443,4.2,108.9,26.0,11526,130864,11.4,786,22.5,241.5,,24847,7.5,186627,1229,650
5,2015,32,13488,55724,365,4.1,108.8,26.3,11527,132694,11.5,842,22.5,243.8,,25015,7.5,188418,1207,663
6,2014,32,13688,57002,380,4.2,111.3,26.7,11200,128898,11.5,807,21.9,236.8,,24888,7.5,185900,1187,670
7,2013,32,13871,57795,410,4.2,112.9,27.1,11102,129177,11.6,804,21.7,235.6,,24973,7.5,186972,1214,655
8,2012,32,13925,59349,401,4.3,115.9,27.2,10833,125951,11.6,757,21.2,231.3,,24758,7.5,185300,1158,678
9,2011,32,13971,59978,400,4.3,117.1,27.3,10464,125330,12.0,745,20.4,229.7,,24435,7.6,185308,1145,650
10,2010,32,13920,58607,399,4.2,114.5,27.2,10491,120946,11.5,751,20.5,221.6,,24411,7.4,179553,1150,730
11,2009,32,14088,59739,429,4.2,116.7,27.5,10372,118917,11.5,710,20.3,218.5,,24460,7.3,178656,1139,750
12,2008,32,14119,59370,476,4.2,116.0,27.6,10081,114766,11.4,646,19.7,211.3,,24200,7.2,174136,1122,715
13,2007,32,13986,56790,386,4.1,110.9,27.3,10425,117213,11.2,720,20.4,214.3,,24411,7.1,174003,1106,800
14,2006,32,14447,60061,424,4.2,117.3,28.2,9796,112277,11.5,648,19.1,204.8,,24243,7.1,172338,1072,765
15,2005,32,14375,57583,431,4.0,112.5,28.1,9790,111721,11.4,644,19.1,203.5,,24165,7.0,169304,1075,807
16,2004,32,14428,59709,416,4.1,116.6,28.2,9772,115338,11.8,732,19.1,210.5,,24200,7.2,175047,1148,794
17,2003,32,14508,60341,427,4.2,117.9,28.3,9695,109467,11.3,654,18.9,200.4,,24203,7.0,169808,1081,806
18,2002,32,14102,59459,460,4.2,116.1,27.5,10314,116201,11.3,694,20.1,212.2,,24416,7.2,175660,1154,796
19,2001,31,13666,55440,365,4.1,111.8,27.6,9542,109639,11.5,635,19.2,205.8,,23208,7.1,165079,1000,825
20,2000,31,13677,55829,412,4.1,112.6,27.6,9497,110131,11.6,634,19.1,206.9,,23174,7.2,165960,1046,776
21,1999,31,13548,52819,363,3.9,106.5,27.3,9567,113254,11.8,665,19.3,212.3,,23115,7.2,166073,1028,801
22,1998,30,13568,54093,379,4.0,112.7,28.3,8766,106086,12.1,658,18.3,205.0,,22334,7.2,160179,1037,724
23,1997,30,13639,54260,384,4.0,113.0,28.4,8844,105288,11.9,617,18.4,201.8,,22483,7.1,159548,1001,798
24,1996,30,13594,52306,364,3.8,109.0,28.3,9198,106661,11.6,626,19.2,207.4,,22792,7.0,158967,990,776
25,1995,30,13199,51886,385,3.9,108.1,27.5,9717,113069,11.6,663,20.2,220.8,,22916,7.2,164955,1048,778
26,1994,28,12550,46710,340,3.7,104.3,28.0,8739,101884,11.7,583,19.5,213.6,,21289,7.0,148594,923,723
27,1993,28,12684,49295,304,3.9,110.0,28.3,8351,96490,11.6,517,18.6,200.6,,21035,6.9,145785,821,759
28,1992,28,12291,49509,333,4.0,110.5,27.4,7705,92011,11.9,516,17.2,187.6,,19996,7.1,141520,849,773
29,1991,28,12279,48237,358,3.9,107.7,27.4,8003,96100,12.0,511,17.9,199.1,,20282,7.1,144337,869,780
30,1990,28,12442,51012,377,4.1,113.9,27.8,7572,94700,12.5,575,16.9,194.8,,20014,7.3,145712,952,810
