,,,,,,,,,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,Tms,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts
1,2019,32,0.85,1.55,0.01,0.02,0.07,0.07,0.01,2.58,0.11,0.23,2.19,2.34,1.53,1.92,0.04,22.5
2,2018,32,0.86,1.65,0.01,0.01,0.05,0.09,0.01,2.68,0.13,0.25,2.27,2.41,1.57,1.85,0.02,23.3
3,2017,32,0.74,1.45,0.02,0.01,0.08,0.08,0.01,2.39,0.07,0.16,2.08,2.21,1.69,2.01,0.03,21.7
4,2016,32,0.87,1.54,0.02,0.01,0.04,0.07,0.01,2.56,0.10,0.21,2.19,2.33,1.66,1.97,0.04,22.7
5,2015,32,0.71,1.64,0.03,0.01,0.06,0.10,0.01,2.56,0.09,0.18,2.24,2.38,1.63,1.93,0.03,22.8
6,2014,32,0.74,1.58,0.03,0.01,0.05,0.09,0.02,2.52,0.05,0.11,2.39,2.40,1.62,1.93,0.04,22.6
7,2013,32,0.80,1.57,0.03,0.01,0.06,0.13,0.02,2.62,0.07,0.13,2.46,2.47,1.69,1.95,0.04,23.4
8,2012,32,0.78,1.48,0.04,0.03,0.05,0.14,0.02,2.54,0.06,0.11,2.40,2.41,1.66,1.98,0.03,22.8
9,2011,32,0.78,1.46,0.04,0.02,0.06,0.10,0.01,2.47,0.05,0.10,2.34,2.36,1.64,1.97,0.04,22.2
10,2010,32,0.78,1.47,0.03,0.04,0.04,0.11,0.01,2.48,0.05,0.10,2.35,2.37,1.55,1.88,0.03,22.0
11,2009,32,0.84,1.39,0.02,0.04,0.05,0.09,0.01,2.44,0.05,0.12,2.28,2.31,1.48,1.82,0.03,21.5
12,2008,32,0.93,1.26,0.03,0.03,0.06,0.10,0.02,2.43,0.05,0.13,2.29,2.30,1.65,1.95,0.04,22.0
13,2007,32,0.75,1.41,0.03,0.05,0.07,0.10,0.01,2.42,0.06,0.11,2.28,2.30,1.55,1.88,0.04,21.7
14,2006,32,0.83,1.27,0.03,0.02,0.06,0.10,0.01,2.32,0.04,0.07,2.20,2.22,1.50,1.84,0.02,20.7
15,2005,32,0.84,1.26,0.02,0.02,0.04,0.09,0.01,2.28,0.05,0.09,2.15,2.18,1.53,1.89,0.02,20.6
16,2004,32,0.81,1.43,0.02,0.03,0.07,0.10,0.01,2.47,0.07,0.14,2.30,2.32,1.37,1.70,0.03,21.5
17,2003,32,0.83,1.28,0.04,0.03,0.05,0.11,0.01,2.35,0.06,0.12,2.17,2.20,1.48,1.86,0.04,20.8
18,2002,32,0.90,1.36,0.04,0.03,0.05,0.09,0.01,2.48,0.09,0.16,2.24,2.28,1.44,1.86,0.02,21.7
19,2001,31,0.74,1.28,0.02,0.02,0.07,0.12,0.01,2.26,0.08,0.17,2.03,2.07,1.48,1.93,0.02,20.2
20,2000,31,0.83,1.28,0.03,0.03,0.04,0.10,0.01,2.32,0.07,0.15,2.12,2.14,1.47,1.85,0.03,20.7
21,1999,31,0.73,1.34,0.03,0.03,0.07,0.12,0.01,2.33,0.06,0.16,2.12,2.14,1.51,1.94,0.05,20.8
22,1998,30,0.79,1.37,0.03,0.04,0.06,0.11,0.01,2.41,0.09,0.21,2.15,2.19,1.48,1.85,0.04,21.3
23,1997,30,0.80,1.29,0.03,0.03,0.08,0.10,0.01,2.34,0.10,0.22,2.07,2.10,1.48,1.89,0.03,20.7
24,1996,30,0.76,1.30,0.03,0.02,0.06,0.09,0.01,2.27,0.09,0.19,2.04,2.06,1.53,1.91,0.04,20.4
25,1995,30,0.80,1.38,0.02,0.02,0.08,0.11,0.01,2.42,0.08,0.21,2.15,2.19,1.54,1.99,0.03,21.5
