
,,,,,,,,,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,
Rk,Year,Tms,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,2019,32,9.3,17.3,0.1,0.2,0.8,0.7,0.1,28.5,1.2,2.6,24.1,25.8,17.3,21.7,0.4,250.3,22.4
2,2018,32,13.7,26.5,0.2,0.2,0.8,1.4,0.1,42.9,2.1,4.0,36.4,38.6,25.1,29.6,0.3,373.4,23.3
3,2017,32,11.9,23.2,0.3,0.2,1.3,1.3,0.1,38.3,1.2,2.6,33.3,35.4,27.1,32.1,0.5,347.4,21.7
4,2016,32,13.8,24.6,0.3,0.2,0.7,1.1,0.1,40.8,1.6,3.3,35.0,37.3,26.6,31.5,0.6,364.0,22.8
5,2015,32,11.4,26.3,0.4,0.2,1.0,1.7,0.2,41.2,1.4,2.9,35.8,38.0,26.1,30.8,0.5,364.9,22.8
6,2014,32,11.9,25.2,0.4,0.2,0.9,1.5,0.4,40.5,0.9,1.8,38.2,38.4,25.9,30.8,0.7,361.4,22.6
7,2013,32,12.8,25.1,0.4,0.2,0.9,2.0,0.3,41.7,1.1,2.2,39.4,39.6,27.0,31.2,0.6,374.6,23.4
8,2012,32,12.5,23.7,0.6,0.4,0.8,2.2,0.3,40.5,0.9,1.8,38.4,38.6,26.6,31.8,0.4,364.1,22.8
9,2011,32,12.5,23.3,0.6,0.3,1.0,1.5,0.2,39.4,0.8,1.6,37.5,37.7,26.2,31.6,0.7,354.9,22.2
10,2010,32,12.5,23.5,0.4,0.7,0.7,1.8,0.2,39.8,0.8,1.6,37.6,37.9,24.8,30.1,0.4,352.6,22.0
11,2009,32,13.4,22.2,0.3,0.6,0.8,1.5,0.2,39,0.8,1.8,36.4,37.0,23.6,29.1,0.4,343.5,21.5
12,2008,32,14.9,20.2,0.5,0.4,1.0,1.6,0.3,38.9,0.9,2.0,36.6,36.8,26.4,31.3,0.7,352.5,22.0
13,2007,32,12.1,22.5,0.5,0.8,1.2,1.6,0.2,38.9,0.9,1.8,36.4,36.8,24.8,30.0,0.6,347.0,21.7
14,2006,32,13.3,20.3,0.5,0.3,1.0,1.5,0.1,37,0.7,1.1,35.1,35.5,24.0,29.4,0.4,330.5,20.7
15,2005,32,13.5,20.1,0.3,0.4,0.7,1.5,0.2,36.7,0.8,1.5,34.3,34.8,24.5,30.2,0.3,329.9,20.6
16,2004,32,13.0,22.9,0.3,0.5,1.1,1.7,0.2,39.7,1.2,2.3,36.8,37.2,22.0,27.2,0.5,343.8,21.5
17,2003,32,13.3,20.4,0.6,0.4,0.8,1.8,0.1,37.4,0.9,1.9,34.7,35.3,23.6,29.8,0.7,333.3,20.8
18,2002,32,14.4,21.7,0.7,0.5,0.8,1.4,0.2,39.7,1.5,2.5,35.9,36.4,23.0,29.7,0.4,346.8,21.7
19,2001,31,11.8,20.5,0.4,0.3,1.1,1.9,0.2,36.2,1.3,2.7,32.5,33.1,23.6,30.9,0.3,323.4,20.2
20,2000,31,13.3,20.5,0.5,0.5,0.6,1.6,0.2,37.2,1.1,2.5,34.0,34.3,23.6,29.6,0.5,330.8,20.7
21,1999,31,11.7,21.5,0.5,0.4,1.1,1.9,0.1,37.2,1.0,2.6,33.9,34.3,24.2,31.1,0.7,333.0,20.8
22,1998,30,12.6,21.9,0.5,0.6,1.0,1.8,0.1,38.5,1.4,3.3,34.4,35.0,23.6,29.6,0.6,340.5,21.3
23,1997,30,12.8,20.6,0.5,0.5,1.2,1.6,0.2,37.4,1.6,3.5,33.1,33.6,23.6,30.2,0.4,331.9,20.7
24,1996,30,12.1,20.9,0.4,0.3,0.9,1.4,0.1,36.1,1.5,3.0,32.6,33.0,24.4,30.5,0.7,326.8,20.4
25,1995,30,12.8,22.1,0.3,0.3,1.3,1.7,0.1,38.6,1.3,3.4,34.3,35.0,24.6,31.8,0.4,343.8,21.5
26,1994,28,12.1,20.8,0.6,0.6,0.7,1.6,,36.4,2.1,4.0,31.8,32.2,22.9,29.0,0.5,324.1,20.3
27,1993,28,10.9,18.5,0.5,0.1,1.1,1.3,0.1,32.5,,0.0,31.3,32.2,24.0,31.4,0.8,299.2,18.7
28,1992,28,11.9,18.4,0.6,0.2,1.2,1.7,0.2,34.2,,0.0,33.4,34.0,20.0,27.6,0.4,299.7,18.7
29,1991,28,12.8,18.3,0.3,0.3,0.9,1.1,0.2,33.9,,0.0,32.8,33.6,22.3,30.3,0.4,303.8,19.0
30,1990,28,13.5,20.5,0.3,0.2,1.0,1.3,0.3,37.1,,0.0,35.6,36.6,21.1,28.3,0.7,322.0,20.1
31,1989,28,13.9,20.8,0.2,0.3,1.0,1.3,0.4,37.9,,0.0,36.6,37.4,21.5,29.6,0.8,329.7,20.6
32,1988,28,15.1,19.9,0.2,0.3,0.7,1.0,0.4,37.6,,0.0,35.9,37.3,20.4,28.4,0.9,324.1,20.3
33,1987,28,12.9,21.8,0.4,0.2,1.0,1.0,0.6,37.9,,0.0,36.1,37.2,19.7,28.0,0.6,324.0,21.6
34,1986,28,14.3,20.9,0.5,0.3,0.9,1.0,0.6,38.5,,0.0,36.6,37.8,20.0,29.1,0.5,328.3,20.5
35,1985,28,15.8,21.4,0.3,0.3,0.7,1.5,0.3,40.3,,0.0,38.3,39.6,21.3,29.5,0.6,344.5,21.5
36,1984,28,14.6,22.0,0.3,0.2,0.9,1.8,0.1,39.9,,0.0,38.4,39.5,20.1,28.0,0.5,339.4,21.2
37,1983,28,15.6,22.3,0.4,0.1,1.2,1.8,0.1,41.5,,0.0,39.4,41.2,19.7,27.5,0.7,349.3,21.8
38,1982,28,8.3,11.4,0.2,0.1,0.4,0.8,0.1,21.3,,0.0,19.9,21.0,11.1,16.3,0.4,181.4,20.2
39,1981,28,15.8,21.1,0.4,0.2,0.9,1.1,,39.5,,0.0,37.2,39.0,18.6,28.3,0.6,330.8,20.7
40,1980,28,15.4,21.6,0.3,0.3,0.8,1.1,0.3,39.8,,0.0,37.2,39.2,17.1,26.9,0.5,327.8,20.5
41,1979,28,17.4,19.2,0.2,0.2,0.8,1.1,0.4,39.3,,0.0,35.4,38.8,16.2,25.7,0.5,321.0,20.1
42,1978,28,16.2,16.7,0.3,0.3,0.6,1.1,0.5,35.7,,0.0,32.6,35.1,15.3,24.2,0.6,293.3,18.3
43,1977,28,12.6,13.9,0.4,0.4,0.6,1.0,0.3,29.2,,0.0,26.5,28.8,12.9,22.1,0.4,240.5,17.2
44,1976,28,14.8,15.4,0.5,0.1,0.6,1.0,0.1,32.5,,0.0,29.1,32.0,14.3,24.0,0.6,268.1,19.2
45,1975,26,15.9,16.7,0.3,0.3,1.1,1.0,0.2,35.5,,0.0,32.1,35.0,14.2,22.1,0.7,288.3,20.6
46,1974,26,14.0,14.5,0.3,0.2,0.8,1.2,0.1,31.1,,0.0,28.2,30.6,12.9,21.3,0.4,254.5,18.2
47,1973,26,12.7,14.5,0.2,0.4,0.7,1.2,0.3,30,,0.0,29.0,29.6,20.9,33.1,0.5,272.6,19.5
48,1972,26,14.0,15.5,0.2,0.2,0.7,1.2,0.4,32.2,,0.0,31.2,31.9,19.2,31.4,0.5,283.5,20.3
49,1971,26,12.8,15.0,0.1,0.3,1.0,1.3,0.4,30.9,,0.0,30.2,30.7,18.0,30.7,0.4,271.1,19.4
50,1970,26,11.3,16.4,0.3,0.6,0.7,1.0,0.4,30.7,,0.0,29.7,30.5,18.4,31.0,0.4,269.6,19.3
51,1969,16,12.3,20.2,0.2,0.4,0.8,1.2,0.2,35.3,,0.0,34.4,35.0,15.2,28.8,0.6,292.6,20.9
52,1968,16,12.6,19.2,0.5,0.3,0.4,1.5,0.2,34.7,,0.0,33.0,34.5,15.1,27.2,0.3,287.0,20.5
53,1967,16,13.7,20.3,0.3,0.8,0.6,2.1,0.1,37.9,,0.0,36.7,37.8,13.7,27.8,0.4,305.9,21.8
54,1966,15,13.3,18.7,0.4,0.5,0.9,2.1,0.2,36.1,,0.0,34.7,35.7,17.5,31.5,0.2,304.1,21.7
55,1965,14,14.1,21.9,0.4,0.2,1.4,2.0,0.2,40.2,,0.0,38.4,39.6,14.0,26.0,0.6,322.9,23.1
56,1964,14,13.9,19.9,0.5,0.1,1.4,1.9,0.1,37.8,,0.0,35.8,37.4,15.3,28.8,0.3,308.5,22.0
57,1963,14,13.6,21.6,0.1,0.6,0.7,1.6,0.1,38.3,,0.0,36.4,38.1,13.4,27.1,0.4,307.7,22.0
58,1962,14,15.2,21.4,0.1,0.4,0.9,0.9,0.3,39.2,,0.0,37.4,38.8,12.9,26.0,0.8,312.4,22.3
59,1961,14,14.6,20.4,0.6,0.4,0.4,1.1,0.1,37.6,,0.0,36.4,37.5,12.8,26.6,0.4,301.1,21.5
60,1960,13,12.4,17.0,0.1,0.2,0.6,1.1,0.2,31.6,,0.0,30.2,31.2,12.5,22.4,0.8,258.7,21.6
61,1959,12,13.3,16.4,0.9,0.1,0.8,0.8,0.2,32.5,,0.0,31.0,32.4,9.7,20.7,0.5,256.0,21.3
62,1958,12,14.7,17.6,0.2,0.7,0.5,0.9,0.2,34.8,,0.0,32.8,34.3,9.9,21.2,0.3,271.1,22.6
63,1957,12,13.3,14.2,0.2,0.3,0.6,0.9,0.2,29.7,,0.0,28.2,29.4,10.7,20.4,0.4,238.0,19.8
64,1956,12,14.9,13.5,0.6,0.4,0.7,0.9,0.1,31.1,,0.0,29.2,31.0,9.4,18.4,0.3,244.6,20.4
65,1955,12,13.8,15.0,0.8,0.3,0.7,1.1,0.2,31.9,,0.0,29.7,31.8,9.6,20.8,0.3,250.1,20.8
66,1954,12,12.7,17.6,0.4,0.5,0.8,1.3,0.1,33.4,,0.0,31.8,33.2,9.9,18.5,0.6,262.7,21.9
67,1953,12,14.1,15.8,0.3,0.2,1.0,1.5,0.3,33.2,,0.0,31.4,32.8,9.0,19.3,0.6,258.1,21.5
68,1952,12,12.3,18.2,1.3,0.5,1.2,1.3,0.3,35.1,,0.0,32.3,34.6,7.9,18.4,0.9,267.3,22.3
69,1951,12,14.6,16.7,1.1,0.2,0.7,1.0,0.1,34.4,,0.0,32.4,34.1,8.2,15.8,0.4,263.3,21.9
70,1950,13,16.0,16.9,0.5,0.5,1.1,1.8,0.1,36.9,,0.0,34.4,36.6,6.2,13.9,0.7,275.3,22.9
