,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Plays,Yds,Pts
1,2019,32,250.3,3884.8,708.3,5.5,15.8,7.0,225.8,249.7,389.7,2639.5,17.3,8.8,6.3,135.8,289.5,1245.3,9.3,4.3,65.8,80.0,681.1,24.1,125.4,35.1,11.9,5.82,30.9,1.90
2,2018,32,373.5,5635.6,1007.0,5.6,21.8,8.7,326.9,358.2,552.2,3804.3,26.5,13.1,6.4,196.1,414.8,1831.3,13.7,4.4,100.2,107.7,919.5,30.6,179.4,36.5,11.8,5.80,31.4,2.00
3,2017,32,347.5,5345.0,1013.7,5.3,22.1,8.6,308.1,339.3,546.5,3589.7,23.2,13.4,6.1,185.0,429.8,1755.3,11.9,4.1,91.2,106.9,924.4,31.9,184.5,33.8,11.4,5.69,28.9,1.78
4,2016,32,364.4,5606.3,1022.9,5.5,21.9,8.9,324.3,360.2,571.7,3863.7,24.6,13.0,6.4,199.0,416.3,1742.6,13.8,4.2,94.9,107.7,928.0,30.4,182.9,35.6,11.3,5.77,30.6,1.91
5,2015,32,365.0,5642.7,1030.4,5.5,23.3,9.7,320.9,360.2,571.8,3901.3,26.3,13.6,6.4,196.5,421.5,1741.4,11.4,4.1,92.9,110.8,942.1,31.4,186.5,34.3,11.7,5.69,30.2,1.84
6,2014,32,361.4,5570.3,1024.3,5.4,23.7,9.6,320.5,350.0,558.7,3789.0,25.2,14.1,6.4,196.5,427.8,1781.3,11.9,4.2,92.7,105.8,888.4,31.3,184.7,34.1,12.1,5.71,30.1,1.83
7,2013,32,374.5,5575.7,1040.7,5.4,25.4,9.8,319.1,346.9,566.8,3769.6,25.1,15.7,6.2,194.1,433.5,1806.1,12.8,4.2,95.6,97.9,844.9,29.5,192.0,33.8,12.5,5.58,29.0,1.81
8,2012,32,364.1,5555.2,1027.6,5.4,24.9,10.3,317.6,338.5,555.9,3700.6,23.7,14.6,6.2,191.9,435.2,1854.7,12.5,4.3,96.9,100.4,850.7,28.8,187.0,33.7,12.5,5.67,29.7,1.79
9,2011,32,354.9,5549.3,1017.8,5.5,25.3,9.5,311.3,327.0,544.1,3675.0,23.3,15.8,6.3,187.2,436.6,1874.3,12.5,4.3,96.7,102.8,867.3,27.3,189.1,32.8,12.8,5.55,29.3,1.74
10,2010,32,352.6,5376.8,1010.0,5.3,26.9,10.9,302.8,327.8,539.7,3545.3,23.5,16.0,6.2,183.3,435.0,1831.5,12.5,4.2,96.3,96.9,814.2,23.3,187.9,32.4,13.3,5.54,28.5,1.74
11,2009,32,343.5,5362.2,1006.9,5.3,27.3,10.8,299.0,324.1,532.3,3495.3,22.2,16.4,6.2,179.6,440.3,1866.8,13.4,4.2,96.2,94.7,778.8,23.3,186.3,31.8,13.7,5.56,28.7,1.72
12,2008,32,352.5,5235.8,990.0,5.3,24.8,10.3,294.8,315.0,516.4,3380.5,20.2,14.5,6.2,172.9,441.2,1855.3,14.9,4.2,101.6,89.6,712.6,20.3,181.2,34.0,12.9,5.64,28.8,1.80
13,2007,32,347.0,5203.5,1004.2,5.2,28.7,12.0,297.8,325.8,532.7,3428.8,22.5,16.7,6.0,181.7,437.1,1774.7,12.1,4.1,95.6,91.6,720.1,20.5,185.4,32.1,14.5,5.58,28.0,1.71
14,2006,32,330.5,5153.8,1000.0,5.2,28.0,11.8,293.9,306.1,512.2,3276.9,20.3,16.3,6.0,170.4,451.5,1876.9,13.3,4.2,99.8,95.2,786.2,23.6,186.2,30.9,14.2,5.53,27.6,1.65
15,2005,32,329.9,5054.7,1000.7,5.1,28.0,12.2,294.6,305.9,514.5,3255.3,20.1,15.8,5.9,170.2,449.2,1799.5,13.5,4.0,96.3,116.3,931.1,28.1,187.4,31.0,13.8,5.50,26.9,1.65
16,2004,32,343.8,5234.6,999.3,5.2,28.3,11.9,300.4,305.4,511.1,3368.7,22.9,16.4,6.1,172.6,450.9,1865.9,13.0,4.1,99.9,111.6,912.9,27.8,187.8,30.8,14.3,5.47,27.8,1.69
17,2003,32,333.3,5092.8,1002.9,5.1,28.5,11.7,292.7,303.0,515.4,3207.1,20.4,16.8,5.8,165.8,453.4,1885.7,13.3,4.2,101.6,105.6,875.8,25.3,189.6,30.4,14.0,5.45,26.8,1.63
18,2002,32,346.8,5253.8,1017.8,5.2,29.0,12.5,304.0,322.3,540.4,3395.7,21.7,16.5,5.9,175.9,440.7,1858.1,14.4,4.2,102.0,104.0,863.9,26.0,188.4,31.4,14.4,5.56,27.8,1.71
19,2001,31,323.4,5081.3,1001.4,5.1,29.9,12.4,288.2,307.8,522.0,3292.9,20.5,17.6,5.9,170.1,440.8,1788.4,11.8,4.1,95.5,92.7,784.7,22.6,189.8,29.5,14.5,5.44,26.6,1.56
20,2000,31,330.8,5110.8,1007.5,5.1,30.1,13.0,294.8,306.4,526.5,3309.9,20.5,17.1,5.8,171.5,441.2,1800.9,13.3,4.1,98.0,101.3,843.0,25.3,190.2,30.2,14.7,5.46,26.8,1.62
21,1999,31,333.0,5100.3,1018.0,5.0,30.7,12.6,290.0,308.6,540.6,3396.4,21.5,18.1,5.8,172.4,437.0,1703.8,11.7,3.9,93.3,105.2,873.7,24.3,196.5,29.2,14.6,5.34,25.9,1.55
22,1998,30,340.5,5082.6,1008.8,5.0,28.7,11.7,291.3,292.2,516.3,3279.5,21.9,17.0,5.9,167.5,452.3,1803.1,12.6,4.0,96.6,111.6,922.0,27.2,179.7,30.4,14.1,5.40,26.5,1.63
23,1997,30,331.9,5037.8,1020.7,4.9,28.6,12.7,292.3,294.8,524.3,3229.2,20.6,16.0,5.7,169.4,454.6,1808.7,12.8,4.0,99.2,103.3,861.5,23.7,,,,,,
24,1996,30,326.8,5062.4,1022.2,5.0,30.6,12.6,298.6,306.6,532.2,3318.9,20.9,18.1,5.8,174.8,453.1,1743.5,12.1,3.8,99.4,105.8,841.6,24.4,,,,,,
25,1995,30,343.8,5262.1,1032.5,5.1,30.6,13.5,309.5,323.9,556.6,3532.5,22.1,17.1,6.0,185.6,440.0,1729.5,12.8,3.9,100.7,102.8,819.9,23.2,,,,,,
26,1994,28,324.1,5085.9,1019.4,5.0,29.7,12.8,297.6,312.1,537.7,3417.6,20.8,16.9,6.0,176.6,448.2,1668.2,12.1,3.7,97.0,103.9,837.0,24.0,,,,,,
27,1993,28,299.2,4970.3,1005.5,4.9,30.4,13.7,290.2,298.3,514.8,3209.8,18.5,16.8,5.8,167.7,453.0,1760.5,10.9,3.9,102.4,96.4,736.9,20.0,,,,,,
28,1992,28,299.7,4770.5,958.5,5.0,32.7,14.2,276.7,275.2,478.9,3002.3,18.4,18.5,5.8,156.6,439.0,1768.2,11.9,4.0,99.9,95.8,771.9,20.2,,,,,,
29,1991,28,303.8,4908.6,972.2,5.0,32.2,14.8,284.1,285.8,498.2,3185.8,18.3,17.4,6.0,166.3,438.5,1722.8,12.8,3.9,98.5,96.6,775.0,19.3,,,,,,
30,1990,28,322.0,4937.9,965.2,5.1,31.8,14.6,284.2,270.4,482.7,3116.0,20.5,17.1,6.0,160.7,444.4,1821.9,13.5,4.1,103.4,97.3,763.9,20.1,,,,,,
31,1989,28,329.7,5218.6,1018.3,5.1,35.0,15.1,300.3,285.7,512.1,3374.1,20.8,20.0,6.1,170.4,466.7,1844.5,13.9,4.0,107.6,102.9,826.4,22.3,,,,,,
32,1988,28,324.1,5153.2,1026.7,5.0,34.5,14.7,302.6,273.9,504.7,3210.5,19.9,19.8,5.9,164.8,485.0,1942.7,15.1,4.0,113.9,99.6,808.8,24.0,,,,,,
33,1987,28,324.0,4917.5,992.4,5.0,35.5,16.2,291.0,264.1,481.8,3058.8,21.8,19.3,5.9,158.5,471.0,1858.7,12.9,3.9,106.5,100.7,831.5,26.1,,,,,,
34,1986,28,328.3,5187.6,1042.0,5.0,36.1,15.4,303.3,286.2,516.8,3288.6,20.9,20.8,5.9,169.6,482.5,1899.0,14.3,3.9,108.5,102.7,829.5,25.1,,,,,,
35,1985,28,344.5,5271.1,1048.8,5.0,38.2,16.7,306.9,282.5,515.1,3272.2,21.4,21.5,5.8,170.2,487.0,1998.9,15.8,4.1,112.8,100.6,806.9,23.9,,,,,,
36,1984,28,339.4,5276.5,1051.8,5.0,36.1,15.3,309.2,288.4,511.6,3294.2,22.0,20.9,5.9,171.7,493.3,1982.3,14.6,4.0,115.1,102.3,859.1,22.4,,,,,,
37,1983,28,349.3,5349.8,1052.6,5.1,39.8,17.6,310.8,285.5,501.7,3274.0,22.3,22.1,6.0,167.0,507.5,2075.8,15.6,4.1,121.7,100.0,846.9,22.1,,,,,,
38,1982,28,181.4,2854.8,584.6,4.9,21.9,9.4,170.4,159.8,283.3,1794.9,11.4,12.5,5.8,93.1,277.3,1060.0,8.3,3.8,64.2,54.9,461.9,13.1,,,,,,
39,1981,28,330.8,5352.0,1061.0,5.0,39.9,18.1,310.4,276.6,506.4,3269.8,21.1,21.8,6.0,163.4,518.1,2082.3,15.8,4.0,121.8,102.9,867.5,25.3,,,,,,
40,1980,28,327.8,5175.8,1040.0,5.0,37.1,14.7,304.6,275.0,489.5,3135.3,21.6,22.4,6.0,161.8,513.7,2040.5,15.4,4.0,119.5,99.4,850.8,23.3,,,,,,
41,1979,28,321.0,5055.1,1043.5,4.8,38.3,16.9,295.4,250.8,463.5,2886.0,19.2,21.3,5.8,148.2,542.3,2169.0,17.4,4.0,122.7,102.5,870.7,24.5,,,,,,
42,1978,28,293.3,4810.6,1033.0,4.7,40.6,17.8,282.4,224.2,422.5,2541.4,16.7,22.8,5.5,132.9,574.1,2269.3,16.2,4.0,123.7,107.5,923.6,25.8,,,,,,
43,1977,28,240.5,4000.7,906.8,4.4,35.6,15.5,236.4,179.4,349.5,1986.4,13.9,20.1,5.2,107.4,523.2,2014.3,12.6,3.8,110.4,90.8,778.5,18.6,,,,,,
44,1976,28,268.1,4237.9,919.5,4.6,35.2,17.4,247.3,191.1,366.4,2128.4,15.4,17.8,5.3,113.8,516.5,2109.4,14.8,4.1,114.0,92.5,790.3,19.5,,,,,,
45,1975,26,288.3,4316.0,926.1,4.7,36.5,16.0,257.2,201.2,383.6,2279.1,16.7,20.5,5.4,122.2,507.7,2036.9,15.9,4.0,114.5,85.0,728.1,20.5,,,,,,
46,1974,26,254.5,4011.6,882.1,4.5,32.7,13.5,238.9,193.9,369.6,2145.4,14.5,19.2,5.3,113.5,481.0,1866.2,14.0,3.9,107.1,76.3,658.6,18.3,,,,,,
47,1973,26,272.3,3994.3,870.8,4.6,34.1,16.0,232.0,177.0,340.2,1973.0,14.5,18.1,5.3,104.1,497.5,2021.3,12.7,4.1,111.2,71.0,664.3,16.8,,,,,,
48,1972,26,283.5,4080.0,847.2,4.8,32.8,14.3,234.6,179.2,346.6,2129.0,15.5,18.5,5.7,108.5,471.4,1950.9,14.0,4.1,107.7,71.4,663.2,18.4,,,,,,
49,1971,26,271.1,4001.9,844.5,4.7,36.5,15.6,226.6,184.2,362.0,2180.1,15.0,20.9,5.6,110.1,452.9,1821.8,12.8,4.0,99.0,75.8,751.1,17.5,,,,,,
50,1970,26,269.6,3944.8,850.0,4.6,34.0,14.3,221.1,192.6,376.8,2259.4,16.4,19.6,5.5,114.3,439.7,1685.4,11.3,3.8,88.0,79.9,838.9,18.8,,,,,,
51,1969,16,292.6,4192.0,858.6,4.9,33.2,13.8,237.8,208.8,396.6,2484.7,20.2,19.4,5.8,125.0,426.9,1707.3,12.3,4.0,93.8,73.8,762.9,19.1,,,,,,
52,1968,16,287.0,4134.6,850.0,4.9,34.7,14.3,235.9,193.3,374.8,2359.4,19.2,20.4,5.8,117.2,441.2,1775.1,12.6,4.0,99.9,72.1,734.8,18.8,,,,,,
53,1967,16,305.9,4196.9,866.8,4.8,36.3,13.4,238.6,205.8,403.2,2513.7,20.3,22.9,5.7,123.2,429.3,1683.2,13.7,3.9,95.6,75.7,778.9,19.8,,,,,,
54,1966,15,304.1,4189.1,880.5,4.8,35.8,14.6,238.9,209.9,407.2,2495.7,18.7,21.2,5.6,123.9,433.9,1693.4,13.3,3.9,95.2,71.0,706.7,19.7,,,,,,
55,1965,14,322.9,4263.0,854.3,5.0,36.1,16.3,240.6,198.1,386.2,2573.4,21.9,19.8,6.1,124.2,430.8,1689.6,14.1,3.9,95.9,67.6,665.7,20.5,,,,,,
56,1964,14,308.5,4166.4,865.6,4.8,35.4,16.7,238.0,199.6,388.4,2431.0,19.9,18.7,5.6,123.0,434.3,1735.4,13.9,4.0,96.1,71.1,696.2,18.9,,,,,,
57,1963,14,307.7,4369.9,859.4,5.1,37.6,16.0,240.6,199.4,386.8,2600.4,21.6,21.6,6.1,124.6,436.6,1769.4,13.6,4.1,99.5,63.9,642.9,16.4,,,,,,
58,1962,14,312.4,4476.4,852.1,5.3,40.0,16.8,245.4,203.9,382.6,2713.4,21.4,23.2,6.5,129.6,433.1,1763.0,15.2,4.1,100.2,59.4,620.2,15.6,,,,,,
59,1961,14,301.1,4367.1,851.9,5.1,40.1,16.4,242.6,197.1,378.0,2526.6,20.4,23.7,6.1,126.9,436.1,1840.4,14.6,4.2,101.9,58.8,566.1,13.8,,,,,,
60,1960,13,258.7,3645.0,738.2,4.9,34.3,13.2,201.4,158.8,316.5,2047.5,17.0,21.1,5.9,99.8,391.6,1597.5,12.4,4.1,86.7,60.4,589.0,14.9,,,,,,
61,1959,12,256.0,3761.8,743.6,5.1,33.8,15.4,208.6,154.8,309.5,2037.7,16.4,18.4,6.1,101.8,408.4,1724.1,13.3,4.2,91.3,53.4,486.8,15.4,,,,,,
62,1958,12,271.1,3859.2,753.8,5.1,37.2,16.9,210.5,162.8,329.3,2164.3,17.6,20.3,6.1,102.2,400.4,1694.8,14.7,4.2,93.6,58.9,577.6,14.8,,,,,,
63,1957,12,237.5,3517.3,735.2,4.8,34.4,15.2,195.3,140.4,278.3,1841.0,14.2,19.3,6.0,91.5,429.3,1676.3,13.3,3.9,88.6,58.4,563.8,15.2,,,,,,
64,1956,12,244.6,3638.7,748.8,4.9,33.3,13.3,206.2,138.0,273.5,1770.9,13.5,20.0,6.0,89.0,454.4,1867.8,14.9,4.1,103.3,58.4,530.2,13.9,,,,,,
65,1955,12,250.1,3682.2,784.2,4.7,39.1,17.6,208.4,152.4,318.3,1917.4,15.0,21.5,5.6,96.2,442.1,1764.8,13.8,4.0,96.5,60.0,557.8,15.8,,,,,,
66,1954,12,262.7,3881.3,779.8,5.0,41.0,16.5,214.3,177.9,352.7,2299.4,17.6,24.5,6.0,111.8,397.9,1581.8,12.7,4.0,87.6,71.0,646.1,14.9,,,,,,
67,1953,12,258.1,3689.2,786.3,4.7,42.5,17.0,202.4,168.3,355.6,2085.4,15.8,25.5,5.4,99.2,401.4,1603.8,14.1,4.0,90.8,66.8,584.0,12.4,,,,,,
68,1952,12,267.3,3529.4,796.8,4.4,43.2,18.4,194.4,155.3,335.3,1919.4,18.2,24.8,5.1,94.8,422.4,1610.0,12.3,3.8,86.8,76.8,692.5,12.8,,,,,,
