,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Plays,Yds,Pts
1,2019,32,8011,124313,22667,5.5,506,223,7225,7990,12471,84464,554,283,6.3,4347,9265,39849,299,4.3,2107,2560,21796,771,4012,35.1,11.9,5.82,30.9,1.90
2,2018,32,11952,180338,32224,5.6,696,277,10462,11462,17671,121737,847,419,6.4,6276,13272,58601,439,4.4,3206,3445,29423,980,5740,36.5,11.8,5.80,31.4,2.00
3,2017,32,11120,171040,32438,5.3,706,276,9860,10856,17488,114870,741,430,6.1,5921,13755,56170,380,4.1,2919,3420,29580,1020,5903,33.8,11.4,5.69,28.9,1.78
4,2016,32,11661,179402,32734,5.5,700,285,10379,11526,18295,123639,786,415,6.4,6368,13321,55763,443,4.2,3038,3447,29695,973,5853,35.6,11.3,5.77,30.6,1.91
5,2015,32,11680,180567,32973,5.5,746,310,10268,11527,18298,124843,842,436,6.4,6289,13488,55724,365,4.1,2973,3545,30148,1006,5967,34.3,11.7,5.69,30.2,1.84
6,2014,32,11565,178249,32779,5.4,758,308,10255,11200,17879,121247,807,450,6.4,6288,13688,57002,380,4.2,2965,3386,28428,1002,5911,34.1,12.1,5.71,30.1,1.83
7,2013,32,11985,178421,33302,5.4,814,312,10212,11102,18136,120626,804,502,6.2,6210,13871,57795,410,4.2,3059,3134,27038,943,6143,33.8,12.5,5.58,29.0,1.81
8,2012,32,11651,177767,32882,5.4,797,329,10162,10833,17788,118418,757,468,6.2,6141,13925,59349,401,4.3,3101,3213,27221,920,5983,33.7,12.5,5.67,29.7,1.79
9,2011,32,11356,177579,32569,5.5,810,304,9960,10464,17410,117601,745,506,6.3,5991,13971,59978,400,4.3,3095,3288,27753,874,6050,32.8,12.8,5.55,29.3,1.74
10,2010,32,11283,172057,32319,5.3,860,349,9688,10491,17269,113450,751,511,6.2,5864,13920,58607,399,4.2,3080,3100,26053,744,6012,32.4,13.3,5.54,28.5,1.74
